"gene_names","sample1m","sample2m","sample3m","sample4m","sample5m","sample6m","sample7m","sample8m","sample9m","sample10m"
"ALDH3A2","17","63","131","110","98","54","47","49","114","116"
"ALDH3B1","2","6","2","18","18","23","44","26","34","35"
"ALDH3B2","0","0","1","0","0","0","0","0","0","0"
"ALDH4A1","4","3","11","5","5","8","2","2","4","2"
"ALDH5A1","4","7","6","15","14","3","7","0","11","10"
"ALDH6A1","114","19","24","66","53","33","33","32","92","76"
"ALDH7A1","16","7","4","60","47","39","30","21","46","34"
"ALDH9A1","29","42","54","56","34","62","50","60","64","65"
"ALDOA","820","696","601","514","443","937","1175","1078","703","1078"
"ALDOB","1","0","0","2","0","1","38","4","10","12"
"ALDOC","75","17","11","4","1","4","9","8","3","4"
"ALG1","0","2","0","0","54","0","1","4","0","1"
"ALG10","0","2","1","5","3","0","3","1","1","1"
"ALG10B","36","10","6","20","15","3","4","0","6","9"
"ALG11","2","3","2","2","2","1","3","4","2","1"
"ALG12","11","12","3","26","11","28","13","16","26","38"
"ALG13","43","44","42","41","43","57","55","70","40","46"
"ALG14","89","40","28","50","59","14","13","42","34","27"
"ALG1L2","0","0","0","0","1","0","0","0","0","0"
"ALG1L9P","0","0","0","0","0","1","0","0","0","0"
"ALG2","34","36","29","43","33","23","26","26","32","46"
"ALG3","36","25","32","80","62","129","179","144","83","89"
"ALG5","62","46","57","73","49","238","181","208","103","139"
"ALG6","18","15","5","43","25","6","9","5","14","12"
"ALG8","26","10","13","42","20","117","60","91","33","35"
"ALG9","30","7","5","18","11","21","17","38","10","11"
"ALKBH1","19","1","7","5","8","4","5","4","5","6"
"ALKBH2","14","7","10","71","14","20","20","10","34","32"
"ALKBH3","8","7","24","11","22","16","16","29","25","20"
"ALKBH4","5","13","15","2","9","7","7","8","6","6"
"ALKBH5","28","33","18","47","50","33","40","54","60","57"
"ALKBH6","28","8","8","14","20","16","13","16","19","22"
"ALKBH7","142","100","75","75","65","102","98","133","136","108"
"ALKBH8","0","2","3","5","7","3","3","1","7","2"
"ALMS1","2","10","10","7","6","5","2","3","11","7"
"ALMS1-IT1","0","0","0","1","0","0","0","0","1","0"
"ALMS1P","0","0","0","0","0","0","0","0","1","0"
"ALOX12","3","1","5","0","0","0","0","11","0","0"
"ALOX12-AS1","0","0","1","0","0","1","0","0","0","0"
"ALOX12P2","0","0","1","1","0","0","0","1","0","0"
"ALOX15B","0","0","4","0","0","1","0","6","8","5"
"ALOX5","22","7","12","9","10","8","9","7","6","6"
"ALOX5AP","27","0","0","0","0","25","60","6","82","8"
"ALOXE3","0","0","0","0","0","0","0","1","0","0"
"ALPI","0","0","1","0","0","0","0","0","0","0"
"ALPK1","29","20","20","12","12","6","7","17","2","3"
"ALPK3","25","6","35","1","0","2","6","9","0","0"
"ALPL","0","0","0","0","0","0","0","1","0","0"
"ALPPL2","30","85","76","0","0","0","0","0","0","0"
"ALS2","39","15","12","8","24","4","10","18","10","6"
"ALS2CL","13","18","27","38","14","9","13","5","7","5"
"ALS2CR11","0","0","5","0","0","0","0","1","0","0"
"ALS2CR12","0","0","1","0","0","0","0","0","0","0"
"ALX1","1","0","0","0","0","0","0","0","0","0"
"ALYREF","4","18","25","15","10","16","24","17","20","36"
"AMBP","0","0","0","0","10","9","14","29","9","5"
"AMBRA1","1","12","7","10","7","6","5","4","6","6"
"AMD1","57","53","79","83","70","80","106","93","114","132"
"AMDHD2","3","8","0","3","2","12","22","6","5","4"
"AMELY","0","0","0","0","0","0","0","0","0","2"
"AMER1","3","0","12","0","4","1","0","2","3","4"
"AMER2","0","1","0","1","0","2","3","0","0","2"
"AMER3","0","0","2","0","0","0","0","0","0","0"
"AMFR","10","18","21","19","34","14","48","28","45","32"
"AMH","0","0","0","0","2","0","1","0","0","0"
"AMICA1","0","0","25","0","0","6","0","0","44","18"
"AMIGO1","0","0","0","0","0","0","1","0","0","3"
"AMIGO2","29","17","27","0","0","0","4","3","2","0"
"AMIGO3","0","0","0","3","1","2","7","4","6","7"
"AMMECR1","24","53","40","13","33","15","11","13","14","18"
"AMMECR1L","13","19","30","14","11","6","15","23","17","12"
"AMN","13","33","8","22","4","9","16","14","6","8"
"AMN1","1","5","3","8","7","5","3","1","6","5"
"AMOT","18","25","43","12","4","0","2","4","2","5"
"AMOTL1","4","4","1","1","0","15","5","10","8","2"
"AMOTL2","24","14","27","14","29","27","10","11","13","37"
"AMPD1","0","0","0","0","0","2","0","0","0","0"
"AMPD2","9","11","41","28","9","25","22","29","13","12"
"AMPD3","1","2","6","1","0","8","10","1","0","0"
"AMPH","0","0","0","0","0","3","0","0","0","0"
"AMT","13","2","2","33","28","12","7","13","31","15"
"AMTN","0","0","0","0","0","0","0","0","1","2"
"AMY2B","1","2","1","4","7","3","4","4","1","3"
"AMZ1","0","4","0","0","0","0","0","2","0","0"
"AMZ2","33","19","7","40","28","70","43","21","43","32"
"AMZ2P1","6","7","3","14","7","36","15","12","11","14"
"ANAPC1","8","9","11","9","20","14","17","47","13","30"
"ANAPC10","31","6","20","7","7","15","25","30","10","9"
"ANAPC11","317","182","173","338","240","474","423","368","381","365"
"ANAPC13","59","40","34","65","101","52","51","75","86","51"
"ANAPC15","2","5","0","0","0","0","1","3","1","0"
"ANAPC16","192","360","128","197","261","221","257","252","303","220"
"ANAPC2","0","3","2","4","3","1","1","1","1","2"
"ANAPC4","3","11","9","31","19","17","10","16","36","16"
"ANAPC5","84","75","80","88","101","81","73","71","133","107"
"ANAPC7","18","32","18","30","116","19","14","16","34","43"
"ANG","87","87","70","109","128","145","231","284","139","205"
"ANGEL1","1","2","5","5","6","11","10","8","6","7"
"ANGEL2","11","9","20","20","12","15","11","20","16","17"
"ANGPT1","4","8","1","0","0","3","1","0","12","0"
"ANGPT2","0","1","0","2","18","12","4","74","3","5"
"ANGPTL1","2","8","4","0","1","43","0","32","0","0"
"ANGPTL2","23","36","43","0","0","8","4","44","0","0"
"ANGPTL3","0","0","0","0","2","1","0","10","6","2"
"ANGPTL4","33","115","103","12","37","14","21","5","5","1"
"ANK1","2","1","1","10","7","0","0","19","0","0"
"ANK2","0","0","2","11","0","1","0","0","1","0"
"ANK3","38","22","31","35","24","23","23","32","30","9"
"ANKAR","13","6","5","3","5","4","3","0","10","1"
"ANKDD1A","1","4","4","1","2","0","1","10","1","2"
"ANKDD1B","1","5","2","8","0","0","1","0","1","2"
"ANKEF1","21","4","1","7","10","4","5","5","7","3"
"ANKFN1","0","2","0","1","0","0","0","0","0","0"
"ANKFY1","13","33","36","36","30","15","12","7","27","22"
"ANKH","50","34","55","15","27","18","26","37","20","30"
"ANKHD1","27","49","32","24","26","25","30","20","32","35"
"ANKIB1","28","46","48","80","44","46","40","62","35","45"
"ANKLE1","0","0","0","0","0","0","0","0","0","5"
"ANKLE2","39","46","72","44","61","41","40","33","39","48"
"ANKMY1","0","6","3","2","3","1","0","0","1","1"
"ANKMY2","18","22","15","35","28","25","15","16","20","23"
"ANKRA2","39","18","19","68","26","14","21","11","7","6"
"ANKRD1","102","0","0","0","0","0","0","0","0","0"
"ANKRD10","129","103","119","92","97","220","405","283","48","69"
"ANKRD11","152","151","112","142","136","124","116","71","176","103"
"ANKRD12","330","356","479","309","411","143","116","130","207","136"
"ANKRD13A","19","26","23","21","30","17","60","6","34","20"
"ANKRD13B","0","0","0","0","0","1","1","1","0","2"
"ANKRD13C","10","20","20","12","25","10","10","14","8","18"
"ANKRD13D","6","19","18","8","73","23","21","28","15","10"
"ANKRD16","0","0","2","3","7","5","1","0","1","1"
"ANKRD17","32","96","104","110","75","58","49","64","66","74"
"ANKRD18A","28","13","21","15","38","2","6","1","19","11"
"ANKRD18B","0","1","0","0","0","0","0","0","0","0"
"ANKRD18DP","0","0","1","0","0","0","0","0","0","0"
"ANKRD19P","8","8","6","3","0","3","6","1","10","1"
"ANKRD20A12P","0","7","1","1","0","0","0","0","0","0"
"ANKRD20A19P","0","0","3","0","0","0","0","0","0","0"
"ANKRD20A4","0","6","0","14","3","0","0","0","2","1"
"ANKRD20A5P","0","0","0","0","0","0","0","2","5","6"
"ANKRD20A8P","0","1","0","0","0","0","1","0","0","0"
"ANKRD20A9P","3","68","3","6","6","2","2","3","2","4"
"ANKRD22","40","50","119","184","140","61","64","19","76","76"
"ANKRD23","0","1","13","0","0","1","0","0","2","1"
"ANKRD24","0","0","7","2","0","0","0","0","0","0"
"ANKRD26","19","33","81","31","32","41","166","13","65","32"
"ANKRD27","4","14","8","4","8","9","28","14","6","14"
"ANKRD28","15","12","22","20","20","35","128","39","18","30"
"ANKRD29","23","16","0","25","14","3","6","0","12","18"
"ANKRD30B","1","2","1","0","0","0","0","0","0","0"
"ANKRD30BP2","0","0","0","0","0","0","1","0","0","1"
"ANKRD30BP3","0","1","0","0","0","0","0","0","0","0"
"ANKRD31","2","7","0","8","5","3","0","0","0","1"
"ANKRD32","20","21","9","80","8","13","8","4","29","13"
"ANKRD33B","0","0","0","0","0","0","1","0","0","0"
"ANKRD34A","0","0","0","0","0","0","0","1","0","0"
"ANKRD35","0","0","0","0","0","3","2","0","15","1"
"ANKRD36","41","176","95","98","49","42","8","15","46","29"
"ANKRD36B","66","280","114","114","102","36","19","17","72","50"
"ANKRD36BP1","0","0","0","0","0","0","0","1","1","0"
"ANKRD36BP2","0","0","0","0","0","9","0","0","0","0"
"ANKRD39","39","23","37","41","20","24","22","15","92","11"
"ANKRD40","4","17","52","23","36","24","22","32","17","27"
"ANKRD42","2","11","15","4","10","15","10","2","15","10"
"ANKRD44","15","4","2","3","4","3","2","19","17","6"
"ANKRD44-IT1","0","4","0","0","0","0","0","0","6","0"
"ANKRD45","0","0","1","0","0","1","2","1","0","0"
"ANKRD46","14","22","13","48","12","8","12","5","24","10"
"ANKRD49","91","76","75","78","116","33","40","31","61","32"
"ANKRD50","2","7","5","60","20","11","7","12","31","15"
"ANKRD52","1","5","2","4","4","4","7","4","5","3"
"ANKRD54","1","7","10","9","11","7","5","19","10","10"
"ANKRD55","0","0","0","0","0","0","0","9","0","0"
"ANKRD6","4","10","3","4","0","2","0","0","3","1"
"ANKRD62","2","1","0","0","0","1","3","0","0","0"
"ANKRD62P1-PARP4P3","3","0","0","0","0","0","0","2","0","0"
"ANKRD65","0","0","0","6","6","3","2","0","5","5"
"ANKRD7","0","0","1","0","0","3","0","0","0","0"
"ANKRD9","12","20","7","44","15","12","16","4","14","6"
"ANKS1A","25","55","41","22","30","27","34","51","23","39"
"ANKS1B","0","0","2","0","0","0","0","0","0","0"
"ANKS3","1","3","0","19","4","8","2","7","14","5"
"ANKS4B","32","17","13","2","2","2","2","1","0","0"
"ANKS6","15","10","25","24","21","11","13","7","11","12"
"ANKZF1","25","28","17","28","20","15","10","8","10","10"
"ANLN","11","18","2","7","8","11","19","19","6","13"
"ANO1","68","98","105","44","16","27","23","33","33","74"
"ANO1-AS2","7","2","11","0","2","0","2","5","1","0"
"ANO10","6","16","18","9","14","21","15","14","16","4"
"ANO2","0","0","0","0","0","1","0","0","0","0"
"ANO3","0","1","0","0","0","0","0","1","0","0"
"ANO5","4","0","9","8","7","3","6","7","6","7"
"ANO6","36","31","60","31","22","20","25","25","16","14"
"ANO7","45","67","114","22","7","0","1","1","15","9"
"ANO8","0","0","15","1","1","0","0","0","0","0"
"ANO9","13","83","31","8","41","24","15","15","16","10"
"ANOS1","0","0","0","0","0","2","0","0","2","1"
"ANP32A","28","75","89","56","65","62","38","21","101","111"
"ANP32A-IT1","1","5","0","6","12","2","0","0","4","2"
"ANP32B","287","283","236","209","365","260","199","193","265","314"
"ANP32E","27","36","22","29","24","96","54","31","38","25"
"ANPEP","17","0","1","0","0","23","55","75","0","10"
"ANTXR1","0","0","0","2","3","22","4","39","12","9"
"ANTXR2","19","22","20","0","0","10","10","14","1","3"
"ANXA1","206","157","74","1","24","130","79","167","60","26"
"ANXA10","266","434","211","1092","1120","294","480","235","634","880"
"ANXA11","165","255","348","209","296","248","241","235","181","199"
"ANXA13","9","2","36","1","0","0","0","0","0","0"
"ANXA2","1092","672","676","548","489","1334","1317","1318","628","775"
"ANXA2P2","0","1","0","0","0","0","0","0","0","0"
"ANXA2R","13","10","13","0","0","0","4","0","3","0"
"ANXA3","86","82","40","192","152","140","153","138","181","212"
"ANXA4","753","635","476","276","212","239","338","329","228","302"
"ANXA5","155","48","36","296","163","353","291","480","213","185"
"ANXA6","7","0","0","1","2","43","12","13","14","2"
"ANXA7","101","76","67","81","47","78","68","87","49","51"
"ANXA9","1","1","0","0","1","1","5","7","0","1"
"AOAH","1","0","0","0","0","2","0","3","3","0"
"AOC1","138","225","198","18","41","67","113","67","4","8"
"AOC3","0","0","0","0","0","12","4","30","2","0"
"AOC4P","0","0","0","4","0","0","0","0","0","0"
"AOX1","0","0","0","0","0","0","0","0","11","0"
"AP1AR","41","26","27","17","20","10","17","14","24","22"
"AP1B1","23","41","33","58","54","61","69","130","50","51"
"AP1G1","32","33","27","93","42","44","37","35","50","47"
"AP1G2","23","41","23","53","65","25","40","15","54","22"
"AP1M1","1","20","10","9","8","15","30","33","27","25"
"AP1M2","88","128","122","77","89","42","47","47","50","33"
"AP1S1","33","4","6","6","29","36","11","12","13","10"
"AP1S2","14","1","0","0","0","10","4","10","8","2"
"AP1S3","1","17","1","11","19","15","8","9","18","23"
"AP2A1","1","6","2","1","1","2","0","0","2","1"
"AP2A2","26","36","32","79","102","36","35","17","49","26"
"AP2B1","37","59","40","28","29","46","41","36","27","31"
"AP2M1","96","82","76","105","118","190","187","179","162","109"
"AP2S1","221","252","191","94","93","218","251","144","144","237"
"AP3B1","43","53","37","47","35","35","32","56","44","47"
"AP3B2","2","0","0","0","0","0","0","0","0","0"
"AP3D1","85","141","113","164","157","99","63","101","213","108"
"AP3M1","21","24","20","44","23","19","32","53","24","25"
"AP3M2","21","5","21","9","7","6","5","5","15","11"
"AP3S1","112","58","50","62","48","45","52","93","72","61"
"AP3S2","1","0","0","0","0","0","1","0","0","0"
"AP4B1","5","7","8","15","16","13","20","7","27","19"
"AP4B1-AS1","0","9","0","0","1","0","0","0","0","0"
"AP4E1","11","11","8","9","13","6","4","9","6","5"
"AP4M1","12","11","4","9","1","3","3","7","5","2"
"AP4S1","1","8","36","19","5","4","4","0","14","1"
"AP5B1","4","11","8","14","3","13","19","15","8","8"
"AP5M1","51","27","23","14","30","16","28","30","25","18"
"AP5S1","18","15","12","21","15","21","15","29","28","20"
"AP5Z1","22","42","34","29","10","22","23","19","6","9"
"APAF1","16","27","20","9","4","6","4","7","8","5"
"APBA1","7","6","6","2","0","3","2","2","0","0"
"APBA2","2","0","1","0","0","1","0","3","19","1"
"APBA3","2","4","28","9","7","11","7","10","13","8"
"APBB1","3","0","0","5","2","4","2","0","6","6"
"APBB1IP","0","0","2","1","0","19","22","26","7","0"
"APBB2","7","12","9","32","13","17","10","19","11","11"
"APBB3","2","13","7","31","17","81","6","8","14","6"
"APC","29","45","53","40","31","17","19","19","29","29"
"APC2","0","0","0","1","0","0","0","1","1","0"
"APCDD1","0","0","0","11","9","12","2","16","8","1"
"APEH","16","30","62","65","62","61","64","40","77","65"
"APEX1","34","22","36","105","122","110","95","102","124","117"
"APEX2","11","8","10","16","16","22","8","18","22","8"
"APH1A","75","23","18","21","9","24","28","16","12","13"
"APH1B","14","6","7","6","103","16","18","12","3","5"
"API5","18","33","39","54","125","49","41","79","46","62"
"APIP","59","37","21","44","39","63","26","19","84","25"
"APITD1","3","6","6","2","5","5","8","2","8","7"
"APLF","0","0","0","2","0","0","1","0","0","0"
"APLN","0","0","0","0","0","0","0","0","1","0"
"APLNR","0","0","0","0","0","2","4","103","0","0"
"APLP1","0","0","0","26","13","8","9","7","40","24"
"APLP2","435","444","643","362","321","340","356","409","255","207"
"APMAP","41","48","58","58","59","87","80","64","63","59"
"APOA1","0","1","0","1","0","2","7","3","5","2"
"APOA1BP","102","93","113","26","34","77","87","67","98","77"
"APOA4","0","0","0","0","0","0","2","0","0","0"
"APOB","1","0","0","0","0","0","0","0","0","0"
"APOBEC1","97","31","7","18","5","2","11","7","0","0"
"APOBEC2","1","5","0","11","7","2","2","0","19","3"
"APOBEC3C","14","9","0","37","36","32","6","9","57","15"
"APOBEC3D","7","31","0","3","6","5","1","0","0","1"
"APOBEC3F","3","4","1","2","11","4","4","3","2","2"
"APOBEC3G","1","4","3","3","1","6","5","0","8","1"
"APOBEC3H","0","0","0","0","0","0","1","0","0","1"
"APOBEC4","0","0","0","0","0","0","0","0","0","1"
"APOBR","10","19","6","0","0","10","9","7","3","0"
"APOC1","44","6","15","7","11","334","197","87","10","4"
"APOC3","0","0","0","0","0","1","13","3","0","0"
"APOD","0","0","0","0","0","72","0","0","56","20"
"APOE","2","7","18","0","0","168","439","420","1","3"
"APOH","0","0","0","0","0","0","0","0","2","1"
"APOL1","117","561","238","28","35","23","16","26","5","8"
"APOL2","28","32","15","5","9","9","13","0","5","4"
"APOL3","1","4","4","21","0","7","0","0","1","0"
"APOL4","0","0","2","0","0","3","0","0","0","0"
"APOL5","0","0","0","0","0","0","1","0","0","0"
"APOL6","52","187","93","34","30","36","27","20","33","32"
"APOLD1","0","1","0","1","2","19","16","18","1","3"
"APOM","0","0","0","6","12","3","3","0","2","5"
"APOO","23","7","5","32","55","21","31","32","30","30"
"APOOL","27","51","41","45","44","28","32","25","23","60"
"APOPT1","74","48","22","42","85","111","35","32","34","45"
"APP","73","56","36","84","90","34","33","35","32","31"
"APPBP2","19","9","10","30","43","14","17","20","23","16"
"APPL1","33","26","28","115","112","67","49","56","83","65"
"APPL2","72","80","60","30","57","22","29","27","32","29"
"APRT","131","107","352","324","219","247","202","192","371","284"
"APTR","23","23","29","40","22","25","27","19","17","31"
"APTX","20","13","50","30","49","31","20","19","19","19"
"AQP1","0","2","1","0","0","6","9","31","1","0"
"AQP10","0","2","0","0","0","0","0","0","0","0"
"AQP11","0","0","0","9","9","3","2","1","11","1"
"AQP2","0","0","0","0","0","149","82","6","0","5"
"AQP3","103","81","63","4","0","27","22","4","13","9"
"AQP4","0","0","0","3","18","3","0","2","13","21"
"AQP4-AS1","0","0","0","0","1","0","0","0","0","0"
